id,title,pillar,type,decision,primary_node,secondary_nodes,link_strategy
M030,TradingView 자연어→Pine Script 전략 생성,AI,guide,KEEP,AI Coding,"TradingView|Pine Script|Backtest",link-to-build
M031,GPT·Claude·Codex를 역할별로 쓰는 방법,AI,guide,KEEP,Model Orchestration,"GPT|Claude|Codex",ai-tools-hub
M032,VoiceStudio 로컬 음성복제·더빙 도구 분석,AI,guide,MOVE,AI Tools,"TTS|STT|Local AI",tools-library
M033,Ponytail 에이전트 코드 간소화 도구,AI,brief,MERGE,Agent Tools,"Code Simplification|Agents",merge-into-ai-tools
M034,기업용 AI 에이전트가 생산성 격차를 만드는 이유,AI,analysis,KEEP,Enterprise AI,"Productivity|Agents|Automation",link-to-M026
M035,성급한 정답이 앗아간 질문의 틈,WORK,analysis,KEEP,Coaching,"Leadership|Questions|Growth",leadership-series-1
M036,리더가 답을 주지 않을 때 사람이 성장한다,WORK,analysis,KEEP,Leadership,"Autonomy|Coaching|Decision Making",leadership-series-2
M037,좋은 리더는 자신이 없어도 움직이는 사람을 남긴다,WORK,opinion,KEEP,Leadership,"Delegation|Autonomy|Team",leadership-series-3
M038,열린 질문이 상담 품질을 바꾸는 이유,WORK,guide,KEEP,Open Questions,"CS|Coaching|QA",cs-coaching-hub
M039,상담사 KPI와 열린 질문 훈련 연결,WORK,guide,KEEP,CS KPI,"Open Questions|Performance|Coaching",link-to-M038
M040,GRIT과 공정성 기반 조직문화,WORK,analysis,KEEP,Organizational Culture,"GRIT|Fairness|Leadership",culture-hub
M041,다정함의 과학 서평 — 친절도 KPI가 될 수 있을까,BOOKS,review,KEEP,Kindness,"Healthcare|KPI|Relationships",books-work-link
M042,AI 시대 부모로 살아가기 서평,BOOKS,review,KEEP,AI Parenting,"Education|Parents|AI",books-education
M043,기계와 맞서 싸운 사람들 서평,BOOKS,review,KEEP,Technology and Labor,"Luddite|Automation|Negotiation",books-work-link
M044,더 하우스 온 더 보더랜드 서평,BOOKS,review,KEEP,Cosmic Horror,"Boundaries|Literature|Fear",books-literature
M045,들쥐 넷플릭스 리뷰와 정체성 공포,BOOKS,review,MOVE,Film Review,"Identity|Thriller|Folklore",culture-review
M046,JoyLab Reading List — 리더가 읽어야 할 책,BOOKS,reading-list,KEEP,Leadership Reading,"Coaching|Culture|Management",reading-list-hub
M047,JoyLab Investment OS 설계와 Prediction Journal,BUILD,build-log,KEEP,Investment OS,"Prediction|Scorecard|Regression",build-invest-hub
M048,JoyLab Data Hub — 공개 API 통합 구조,BUILD,build-log,KEEP,Data Hub,"KIS|DART|ECOS|KOSIS",build-data-hub
M049,상담사 고객 상황 관계도 생성기,BUILD,build-log,KEEP,CS Learning App,"Missing Question Engine|Golden Case|React",build-cs-hub
M050,JoyLab Content OS에서 JoyLab Notes로의 전환,BUILD,build-log,KEEP,JoyLab Notes,"Content OS|Knowledge Graph|Publishing",joylab-notes-origin
